# StarPlayer conformance exclusions v2. Tab-separated.
# case-id	reason	accuracy-policy-or-tracking-reference	waive=field[,field] (optional)
# Every reason below records the first divergence observed on the pinned corpus after the
# C2a harness repairs (time-based alignment, loop-aware position, the D18 adapter
# projection, the oracle-derived tick budget). A fourth `waive=` column excludes only the
# named fields and enforces every other one.
libxmp-mod-pattern-jump-octalyser-break	C5 accepted the `CD61` tag and the Octalyser flow dialect in the same change, and the case now passes. D15 waives `frame` and `position`: row 0 carries `F01` and `F32`, and ProTracker latches a tempo of 32 or more into the CIA on that tick while the new interval begins at the next tracker event, so StarPlayer's first interval is 882 frames where libxmp's is 2205 and the source position follows the shift. Every other field is enforced and agrees for the whole trace, including the position-jump and pattern-break interaction this fixture exists to test	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=frame,position
libxmp-mod-pattern-loop-octalyser	C5 accepted the `CD61` tag and the Octalyser flow dialect in the same change, and the case now passes. D15 waives `frame` and `position` for the CIA-latch reason: row 0's `F03`/`F40` takes effect one interval later than libxmp's. Every other field is enforced and agrees for the whole trace, including the one global loop target and counter and the `E60` that Octalyser ignores while a loop is running	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=frame,position
libxmp-mod-pattern-loop-octalyser-breakjump	C5 accepted the `CD61` tag and the Octalyser flow dialect in the same change, and the case now passes. D15 waives `frame` and `position` for the CIA-latch reason. Every other field is enforced and agrees for the whole trace, including the loop jump that blocks every break and jump on its row	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=frame,position
libxmp-mod-pattern-loop-dt	C5 accepted the `FA06` tag and the Digital Tracker flow dialect, and the case passes. D15 waives `frame` and `position` for the CIA-latch reason: the fixture alternates 255 BPM at speed 3 with 63 BPM at speed 1, so ProTracker's deferred tempo flips the frame offset by about 1300 frames at each `Fxx`; the pairer re-anchors on `(row, tick_in_row)` across each flip. Every other field is enforced and agrees for the whole 488-tick trace	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=frame,position
libxmp-mod-pattern-loop-dt-breakjump	C5 accepted the `FA04` tag — four extra header bytes and all — together with the Digital Tracker flow dialect, and the case now passes. D15 waives `frame` and `position` for the CIA-latch reason. Every other field is enforced and agrees for the whole trace, including the loop jump that blocks every break and jump on its row	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=frame,position
openmpt-mod-finetune	D14 waives `position`: `Finetune.mod` uses finetune 14, so libxmp's continuous finetuned period drifts against ProTracker's integer finetune table (first position difference at tick 2 channel 0, 116 against 118 source frames, and unbounded thereafter). Every other field is enforced and agrees for the whole trace	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-amiga-limits-finetune	D14 waives `position`: finetune 14 on every sample, so the continuous-versus-table period drifts about a quarter of a source frame per tick (first at tick 3 channel 3, 12 against 14). Every other field, including the Amiga-limit clamp, is enforced and agrees for the whole trace	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-pattern-jump	D14 waives `position`: `PatternJump.mod` uses finetune 14 on both samples (first drift at tick 14 channel 2, 1744 against 1746). The `Bxx` overriding `Dxx` behaviour this fixture exists to test is enforced and agrees, including order, row and the active set	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-instrument-swap-retrigger	D14 waives `position`: `InstrSwapRetrigger.mod` uses finetunes 7 and 8 (first drift at tick 3 channel 0, 663 against 665). The C2a D18 adapter projection removed the old row 1 frame 8 alignment error; the E9x retrigger and instrument swap themselves are enforced and agree	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-sample-offset	D14 waives `position`: C2a research point 2 resolved — this is not a `9xx` retained-pointer difference and not a loop gate. `ptoffset.mod` uses finetune 14; the offsets applied at ticks 0 to 7 match exactly and the first drift is tick 8 channel 0, 4560 against 4562. Every other field, active set included, is enforced and agrees	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-instrument-swap	D14 waives `position`: `PTInstrSwap.mod` uses finetune-14 samples, so the continuous-versus-table period drifts (first drift at tick 9 channel 0, 1407 against 1409). The D12 queued lone-instrument replacement this fixture exists to test now lands at the loop boundary and every other field, the row 12 empty-slot null sample included, is enforced and agrees for the whole trace	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-instrument-volume	D14 waives `position`: libxmp's rounded C-4 rate makes its clock 8287 x 428 = 3_546_836 Hz against the exact PAL 3_546_895 Hz, 17 ppm, which crosses the one-integer-sample bound only at the final compared tick 383 channel 0 (19 against 21). Every other field is enforced and agrees	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-arpeggio-wraparound	D16: PT's flat-table zero period retains volume 64 where libxmp silences the voice. First divergence at tick 1 channel 0 field volume: expected 0, actual 64	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations
openmpt-mod-portamento-sample-change	D17: this oracle requests the non-ProTracker default sample-change profile. First divergence at tick 6 channel 0 field instrument: expected 1, actual 2	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations
openmpt-mod-delay-break	D21, on top of the D15 CIA-latch waiver of `frame` and `position`. Every other field is enforced, and the trace diverges at tick 6 channel 0 field active: ProTracker's `mt_RetrigNote` retriggers on tick zero of a row that carries `E9x` and no note, so StarPlayer keeps restarting the 672-frame one-shot, while libxmp handles retrigger only from tick one, lets the sample run out during row 1 tick 0 and drops the channel for the rest of the module	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=frame,position
openmpt-mod-vibrato-reset	D15 waives `frame` and `position` for the CIA-latch reason. Every other field is enforced and the whole trace now agrees: the tick 136 channel 0 volume difference was the signed-shift LFO rounding corrected by C3b	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=frame,position
openmpt-mod-portamento-sample-change-pt	D18, not D12: the queued tone-portamento replacement now lands. The remaining divergence is at tick 37 channel 0 field active — row 7's empty instrument slot queues ProTracker's null sample, whose stop falls due inside the interval, so libxmp omits the channel for that whole tick while C1 snapshots the voice at the boundary before it. The D18 projection covers only a one-shot running out, not a queued stop on a looping voice	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations
openmpt-mod-portamento-swap-pt	D22, not D12: the queued replacement lands and `position` stays waived for D14 finetune drift (first drift at tick 19 channel 0, 2992 against 2994). The remaining divergence is at tick 150 channel 1 field instrument, expected 1 against actual 2 — row 25's `ED3` row. ProTracker latches the instrument column at tick zero and defers only the DMA restart, while libxmp defers the whole event to the delay tick, so the two disagree about the reported instrument for the three ticks before the note fires	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-stopped-swap	D12 is implemented and the queued replacement now lands; `position` is waived for the single tick where the channel is revived. libxmp keeps its ended voice mapped and reports that voice's parked position (250) for the tick in which it hot-swaps, while C1 reports the replacement StarPlayer starts at the same event boundary (0). Every following tick, active set and instrument included, agrees exactly	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=position
openmpt-mod-swap-no-loop	D18, not D12: the queued replacement now lands and exactly one tick of 343 differs. At tick 295 channel 0 the queued one-shot-behind-one-shot stop falls due *inside* the interval, so libxmp omits the channel for the whole tick while C1 snapshots the voice still sounding at the boundary before it. The adapter's D18 one-shot projection cannot recognise it because the channel's reported sample is already the queued replacement, whose length the projection tests instead	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations
libxmp-mod-future-composer-envelope	Startrekker AM envelope parameters live in an unavailable sibling sidecar and cannot be reconstructed from MOD bytes; the case diverges immediately at tick 0 channel 0 field active, expected true against actual false — the AM instruments have no PCM, which ProTracker reads as its null sample	plans/product/03-accuracy-policy.md#4-not-offered-at-all
libxmp-mod-future-composer-ignore-volume	Startrekker AM volume semantics require an unavailable sibling sidecar and synthesizer path; first divergence at tick 0 channel 0 field active, expected true against actual false	plans/product/03-accuracy-policy.md#4-not-offered-at-all
libxmp-mod-future-composer-new-note	Startrekker AM new-note semantics require an unavailable sibling sidecar and synthesizer path; first divergence at tick 0 channel 0 field active, expected true against actual false	plans/product/03-accuracy-policy.md#4-not-offered-at-all
libxmp-mod-future-composer-override	Startrekker AM override semantics require an unavailable sibling sidecar and synthesizer path; first divergence at tick 0 channel 0 field volume, expected 63 against actual 64	plans/product/03-accuracy-policy.md#4-not-offered-at-all
libxmp-mod-future-composer-period-fall	Startrekker AM period-envelope semantics require an unavailable sibling sidecar and synthesizer path; first divergence at tick 0 channel 0 field active, expected true against actual false	plans/product/03-accuracy-policy.md#4-not-offered-at-all
libxmp-s3m-pattern-loop-imf	C5's Imago Orpheus dialect (`cwtv` 0x2100, libxmp `FLOW_MODE_ORPHEUS`) lands the per-channel loop counters and the loop destination that rewrites a prior `Cxx` row, and the case now passes. Three representation waivers remain. D37 waives `note`: the sample's C2SPD is 16726 Hz, so libxmp reports the pitch-domain note an octave above the pattern's. D40 waives `volume`: row 0's `DFF` is a fine slide **down** under ST3's `S_FX_D` classification order and a fine slide **up** under libxmp's and OpenMPT's. D19 waives `frame`, and with D36 `position`: the 79 and 33 BPM ticks accumulate libxmp's per-tick truncation. Every other field is enforced and agrees for the whole trace, the complete row and order sequence included	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=note,volume,position,frame
libxmp-s3m-pattern-loop-mpt	C5's ModPlug Tracker 1.16 dialect (`cwtv` 0x1320 with the ModPlug fingerprint, libxmp `FLOW_MODE_MPT_116`) lands the per-channel counters and the rule that a channel begins a loop only while no other channel is looping, and the case now passes. D36 waives `period` and `position`: libxmp derives the period from the continuous `13696 / 2^(n/12)` formula where ST3 divides its integer table, so a non-C note is a few native units apart. Every other field is enforced and agrees for the whole trace	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=period,position
libxmp-s3m-pattern-loop-st301	C5's Scream Tracker 3.01 dialect (`cwtv` below 0x1303, libxmp `FLOW_MODE_ST3_301`) lands `FLOW_LOOP_INIT_SAMEROW` — an `SBx` with no `SB0` before it targets its own row — and the absence of ST3.21's break/jump blocking, and the case now passes. D36 waives `period` and `position` (`G#3` is 2560 in ST3's table against libxmp's 2565). D38 waives `volume`: rows 5 to 8 carry `D0F`, which libxmp slides on tick zero on the strength of a user report where ST3, OpenMPT and `S_FX_D` treat it as a normal slide. D19 waives `frame`: the 255 BPM rows accumulate libxmp's per-tick truncation. Every other field is enforced and agrees for the whole trace	plans/product/03-accuracy-policy.md#3-documented-deviations-from-the-reference-implementations	waive=period,position,volume,frame
